CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,R_Score,F_Score,M_Score,RFM_Score,UserSegment,PreferredLoginDevice_encoded,MaritalStatus_encoded,Gender_encoded,PreferedOrderCat_encoded,Cluster,ClusterName,ChurnProbability,RiskLevel
50001,1,4.0,Mobile Phone,3,6.0,Single,3,Female,3.0,1.0,11.0,5.0,Laptop & Accessory,9,2,1,1.0,159.93,2,1,3,213,低价值用户,0,2,0,3,1,新用户,0.75,高风险
50002,1,9.0,Phone,1,8.0,Single,4,Male,3.0,1.0,15.0,0.0,Household,7,3,1,0.0,120.9,5,1,1,511,低价值用户,2,2,1,2,2,普通活跃用户,0.89,高风险
50003,1,9.0,Phone,1,30.0,Single,4,Male,2.0,1.0,14.0,3.0,Household,6,3,1,0.0,120.28,4,1,1,411,低价值用户,2,2,1,2,2,普通活跃用户,0.88,高风险
50004,1,3.0,Phone,3,15.0,Single,4,Male,2.0,1.0,23.0,3.0,Laptop & Accessory,8,5,0,0.0,134.07,4,1,1,411,低价值用户,2,2,1,3,2,普通活跃用户,0.94,高风险
50005,1,3.0,Phone,1,12.0,Single,3,Male,3.0,1.0,11.0,3.0,Household,3,5,0,1.0,129.6,4,1,1,411,低价值用户,2,2,1,2,2,普通活跃用户,0.85,高风险
50006,1,3.0,Pad,1,22.0,Single,5,Female,3.0,6.0,22.0,7.0,Mobile Phone,2,5,1,4.0,139.19,2,5,1,251,普通用户,1,2,0,4,0,高价值忠诚用户,0.84,高风险
50007,1,9.0,Phone,3,11.0,Divorced,3,Male,2.0,1.0,14.0,0.0,Laptop & Accessory,4,2,0,0.0,120.86,5,1,1,511,低价值用户,2,0,1,3,2,普通活跃用户,0.87,高风险
50008,1,9.0,Phone,1,6.0,Divorced,3,Male,3.0,2.0,16.0,0.0,Household,3,2,1,2.0,122.93,5,2,1,521,普通用户,2,0,1,2,2,普通活跃用户,0.63,高风险
50009,1,13.0,Phone,3,9.0,Divorced,4,Male,3.0,1.0,14.0,2.0,Household,2,3,1,0.0,126.83,5,1,1,511,低价值用户,2,0,1,2,2,普通活跃用户,0.61,高风险
50010,1,9.0,Phone,1,31.0,Single,5,Male,2.0,1.0,12.0,1.0,Household,2,3,0,1.0,122.93,5,1,1,511,低价值用户,2,2,1,2,2,普通活跃用户,0.79,高风险
50011,1,4.0,Mobile Phone,1,18.0,Divorced,3,Female,2.0,15.0,15.0,8.0,Others,2,3,0,9.0,295.45,2,5,5,255,高价值用户,0,0,0,5,0,高价值忠诚用户,0.9,高风险
50012,1,11.0,Mobile Phone,1,6.0,Single,4,Male,3.0,1.0,13.0,0.0,Fashion,10,3,1,0.0,153.81,5,1,3,513,低价值用户,0,2,1,0,3,低价值用户,0.84,高风险
50013,1,3.0,Phone,1,11.0,Single,3,Male,2.0,2.0,13.0,2.0,Household,2,3,1,2.0,134.41,5,2,1,521,普通用户,2,2,1,2,2,普通活跃用户,0.52,高风险
50014,1,3.0,Phone,1,15.0,Divorced,4,Male,3.0,1.0,17.0,0.0,Household,1,3,1,0.0,133.88,5,1,1,511,低价值用户,2,0,1,2,2,普通活跃用户,0.83,高风险
