作物编号,地块类型,种植季次,作物名称,种植成本/(元/亩),销售单价平均值/(元/斤),预期销售量/斤
1,山坡地,第一季,黄豆,400.0,3.25,5400.0
1,平旱地,第一季,黄豆,400.0,3.25,28800.0
1,梯田,第一季,黄豆,400.0,3.25,22800.0
2,梯田,第一季,黑豆,400.0,7.5,21850.0
3,山坡地,第一季,红豆,350.0,8.25,7200.0
3,梯田,第一季,红豆,350.0,8.25,15200.0
4,平旱地,第一季,绿豆,350.0,7.0,23800.0
4,梯田,第一季,绿豆,350.0,7.0,9240.0
5,梯田,第一季,爬豆,350.0,6.75,9875.0
6,山坡地,第一季,小麦,450.0,3.5,19440.0
6,平旱地,第一季,小麦,450.0,3.5,64000.0
6,梯田,第一季,小麦,450.0,3.5,87400.0
7,平旱地,第一季,玉米,500.0,3.0,90000.0
7,梯田,第一季,玉米,500.0,3.0,42750.0
8,平旱地,第一季,谷子,360.0,6.75,22000.0
8,梯田,第一季,谷子,360.0,6.75,49400.0
9,梯田,第一季,高粱,400.0,6.0,30000.0
10,梯田,第一季,黍子,360.0,7.5,12500.0
11,山坡地,第一季,荞麦,350.0,40.0,1500.0
12,山坡地,第一季,南瓜,1000.0,1.5,35100.0
13,山坡地,第一季,红薯,2000.0,3.25,36000.0
14,梯田,第一季,莜麦,400.0,5.5,14000.0
15,梯田,第一季,大麦,350.0,3.5,10000.0
16,水浇地,第一季,水稻,680.0,7.0,21000.0
17,普通大棚,第一季,豇豆,2400.0,8.0,4320.0
17,智慧大棚,第一季,豇豆,2400.0,8.0,2160.0
17,水浇地,第一季,豇豆,2000.0,8.0,30000.0
18,普通大棚,第一季,刀豆,1200.0,6.75,2880.0
18,水浇地,第一季,刀豆,1000.0,6.75,24000.0
19,普通大棚,第一季,芸豆,2400.0,6.5,4320.0
19,智慧大棚,第一季,芸豆,2400.0,6.5,2160.0
20,水浇地,第一季,土豆,2000.0,3.75,30000.0
21,普通大棚,第一季,西红柿,2400.0,6.25,1800.0
21,智慧大棚,第二季,西红柿,2640.0,7.5,810.0
21,水浇地,第一季,西红柿,2000.0,6.25,33600.0
22,普通大棚,第一季,茄子,2400.0,5.5,4800.0
22,智慧大棚,第二季,茄子,2640.0,6.6,2160.0
22,水浇地,第一季,茄子,2000.0,5.5,38400.0
23,智慧大棚,第二季,菠菜,3000.0,6.9,900.0
24,普通大棚,第一季,青椒,2000.0,5.25,1800.0
24,智慧大棚,第二季,青椒,2200.0,6.8,810.0
25,普通大棚,第一季,菜花,3000.0,5.5,2400.0
25,智慧大棚,第一季,菜花,3000.0,5.5,1200.0
26,普通大棚,第一季,包菜,3500.0,6.5,2700.0
26,智慧大棚,第一季,包菜,3500.0,6.5,1350.0
27,普通大棚,第一季,油麦菜,2000.0,5.0,4500.0
28,普通大棚,第一季,小青菜,2000.0,5.75,2400.0
28,智慧大棚,第二季,小青菜,2200.0,6.9,1080.0
28,水浇地,第一季,小青菜,1600.0,5.75,32000.0
29,普通大棚,第一季,黄瓜,3500.0,7.0,9000.0
29,智慧大棚,第二季,黄瓜,3850.0,8.4,4050.0
30,普通大棚,第一季,生菜,2000.0,5.25,1500.0
30,智慧大棚,第二季,生菜,2200.0,6.300000000000001,1350.0
31,普通大棚,第一季,辣椒,1200.0,7.25,1200.0
32,智慧大棚,第一季,空心菜,5000.0,4.5,3600.0
33,智慧大棚,第一季,黄心菜,2500.0,4.5,1800.0
34,智慧大棚,第二季,芹菜,1200.0,4.8,1800.0
35,水浇地,第二季,大白菜,2000.0,2.5,150000.0
36,水浇地,第二季,白萝卜,500.0,2.5,100000.0
37,水浇地,第二季,红萝卜,500.0,3.25,36000.0
38,普通大棚,第二季,榆黄菇,3000.0,57.5,9000.0
39,普通大棚,第二季,香菇,2000.0,19.0,7199.999999999999
40,普通大棚,第二季,白灵菇,10000.0,16.0,18000.0
41,普通大棚,第二季,羊肚菌,10000.0,100.0,4200.0
