作物编号,作物名称,种植季次,种植成本/(元/亩),销售单价平均值/(元/斤),预期销售量/斤
1,黄豆,第一季,400.0,3.25,57000.0
2,黑豆,第一季,400.0,7.5,21850.0
3,红豆,第一季,350.0,8.25,22400.0
4,绿豆,第一季,350.0,7.0,33040.0
5,爬豆,第一季,350.0,6.75,9875.0
6,小麦,第一季,450.0,3.5,170840.0
7,玉米,第一季,500.0,3.0,132750.0
8,谷子,第一季,360.0,6.75,71400.0
9,高粱,第一季,400.0,6.0,30000.0
10,黍子,第一季,360.0,7.5,12500.0
11,荞麦,第一季,350.0,40.0,1500.0
12,南瓜,第一季,1000.0,1.5,35100.0
13,红薯,第一季,2000.0,3.25,36000.0
14,莜麦,第一季,400.0,5.5,14000.0
15,大麦,第一季,350.0,3.5,10000.0
16,水稻,第一季,680.0,7.0,21000.0
17,豇豆,第一季,2400.0,8.0,36480.0
18,刀豆,第一季,1200.0,6.75,26880.0
19,芸豆,第一季,2400.0,6.5,6480.0
20,土豆,第一季,2000.0,3.75,30000.0
21,西红柿,第一季,2400.0,6.25,35400.0
21,西红柿,第二季,2640.0,7.5,810.0
22,茄子,第一季,2400.0,5.5,43200.0
22,茄子,第二季,2640.0,6.6,2160.0
23,菠菜,第二季,3000.0,6.9,900.0
24,青椒,第一季,2000.0,5.25,1800.0
24,青椒,第二季,2200.0,6.8,810.0
25,菜花,第一季,3000.0,5.5,3600.0
26,包菜,第一季,3500.0,6.5,4050.0
27,油麦菜,第一季,2000.0,5.0,4500.0
28,小青菜,第一季,2000.0,5.75,34400.0
28,小青菜,第二季,2200.0,6.9,1080.0
29,黄瓜,第一季,3500.0,7.0,9000.0
29,黄瓜,第二季,3850.0,8.4,4050.0
30,生菜,第一季,2000.0,5.25,1500.0
30,生菜,第二季,2200.0,6.300000000000001,1350.0
31,辣椒,第一季,1200.0,7.25,1200.0
32,空心菜,第一季,5000.0,4.5,3600.0
33,黄心菜,第一季,2500.0,4.5,1800.0
34,芹菜,第二季,1200.0,4.8,1800.0
35,大白菜,第二季,2000.0,2.5,150000.0
36,白萝卜,第二季,500.0,2.5,100000.0
37,红萝卜,第二季,500.0,3.25,36000.0
38,榆黄菇,第二季,3000.0,57.5,9000.0
39,香菇,第二季,2000.0,19.0,7199.999999999999
40,白灵菇,第二季,10000.0,16.0,18000.0
41,羊肚菌,第二季,10000.0,100.0,4200.0
