地块名称,作物编号,作物名称,种植面积/亩,种植季次,地块类型
A1,6,小麦,80.0,第一季,平旱地
A2,7,玉米,55.0,第一季,平旱地
A3,7,玉米,35.0,第一季,平旱地
A4,1,黄豆,72.0,第一季,平旱地
A5,4,绿豆,68.0,第一季,平旱地
A6,8,谷子,55.0,第一季,平旱地
B1,6,小麦,60.0,第一季,梯田
B2,2,黑豆,46.0,第一季,梯田
B3,3,红豆,40.0,第一季,梯田
B4,4,绿豆,28.0,第一季,梯田
B5,5,爬豆,25.0,第一季,梯田
B6,8,谷子,86.0,第一季,梯田
B7,6,小麦,55.0,第一季,梯田
B8,8,谷子,44.0,第一季,梯田
B9,9,高粱,50.0,第一季,梯田
B10,10,黍子,25.0,第一季,梯田
B11,1,黄豆,60.0,第一季,梯田
B12,7,玉米,45.0,第一季,梯田
B13,14,莜麦,35.0,第一季,梯田
B14,15,大麦,20.0,第一季,梯田
C1,11,荞麦,15.0,第一季,山坡地
C2,12,南瓜,13.0,第一季,山坡地
C3,1,黄豆,15.0,第一季,山坡地
C4,13,红薯,18.0,第一季,山坡地
C5,6,小麦,27.0,第一季,山坡地
C6,3,红豆,20.0,第一季,山坡地
D1,20,土豆,15.0,第一季,水浇地
D1,36,白萝卜,15.0,第二季,水浇地
D2,28,小青菜,10.0,第一季,水浇地
D2,35,大白菜,10.0,第二季,水浇地
D3,21,西红柿,14.0,第一季,水浇地
D3,35,大白菜,14.0,第二季,水浇地
D4,22,茄子,6.0,第一季,水浇地
D4,35,大白菜,6.0,第二季,水浇地
D5,17,豇豆,10.0,第一季,水浇地
D5,36,白萝卜,10.0,第二季,水浇地
D6,18,刀豆,12.0,第一季,水浇地
D6,37,红萝卜,12.0,第二季,水浇地
D7,16,水稻,22.0,第一季,水浇地
D8,16,水稻,20.0,第一季,水浇地
E1,18,刀豆,0.6,第一季,普通大棚
E1,38,榆黄菇,0.6,第二季,普通大棚
E2,24,青椒,0.6,第一季,普通大棚
E2,38,榆黄菇,0.6,第二季,普通大棚
E3,25,菜花,0.6,第一季,普通大棚
E3,38,榆黄菇,0.6,第二季,普通大棚
E4,26,包菜,0.6,第一季,普通大棚
E4,39,香菇,0.6,第二季,普通大棚
E5,28,小青菜,0.6,第一季,普通大棚
E5,39,香菇,0.6,第二季,普通大棚
E6,27,油麦菜,0.6,第一季,普通大棚
E6,39,香菇,0.6,第二季,普通大棚
E7,19,芸豆,0.6,第一季,普通大棚
E7,40,白灵菇,0.6,第二季,普通大棚
E8,19,芸豆,0.6,第一季,普通大棚
E8,40,白灵菇,0.6,第二季,普通大棚
E9,18,刀豆,0.6,第一季,普通大棚
E9,40,白灵菇,0.6,第二季,普通大棚
E10,17,豇豆,0.6,第一季,普通大棚
E10,41,羊肚菌,0.6,第二季,普通大棚
E11,17,豇豆,0.6,第一季,普通大棚
E11,41,羊肚菌,0.6,第二季,普通大棚
E12,22,茄子,0.6,第一季,普通大棚
E12,41,羊肚菌,0.6,第二季,普通大棚
E13,21,西红柿,0.6,第一季,普通大棚
E13,41,羊肚菌,0.6,第二季,普通大棚
E14,29,黄瓜,0.6,第一季,普通大棚
E14,41,羊肚菌,0.6,第二季,普通大棚
E15,30,生菜,0.3,第一季,普通大棚
E15,27,油麦菜,0.3,第一季,普通大棚
E15,41,羊肚菌,0.6,第二季,普通大棚
E16,31,辣椒,0.6,第一季,普通大棚
E16,41,羊肚菌,0.6,第二季,普通大棚
F1,32,空心菜,0.3,第一季,智慧大棚
F1,33,黄心菜,0.3,第一季,智慧大棚
F1,24,青椒,0.3,第二季,智慧大棚
F1,21,西红柿,0.3,第二季,智慧大棚
F2,25,菜花,0.3,第一季,智慧大棚
F2,26,包菜,0.3,第一季,智慧大棚
F2,22,茄子,0.3,第二季,智慧大棚
F2,29,黄瓜,0.3,第二季,智慧大棚
F3,17,豇豆,0.6,第一季,智慧大棚
F3,28,小青菜,0.3,第二季,智慧大棚
F3,30,生菜,0.3,第二季,智慧大棚
F4,19,芸豆,0.6,第一季,智慧大棚
F4,34,芹菜,0.3,第二季,智慧大棚
F4,23,菠菜,0.3,第二季,智慧大棚
