作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A1,80.0,1
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A2,55.0,1
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A3,35.0,1
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A4,72.0,1
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A5,68.0,1
1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A6,55.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B1,60.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B2,46.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B3,40.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B4,28.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B5,25.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B6,86.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B7,55.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B8,44.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B9,50.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B10,25.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B11,60.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B12,45.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B13,35.0,1
1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B14,20.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C1,15.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C2,13.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C3,15.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C4,18.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C5,27.0,1
1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C6,20.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A1,80.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A2,55.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A3,35.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A4,72.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A5,68.0,1
2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A6,55.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B1,60.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B2,46.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B3,40.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B4,28.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B5,25.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B6,86.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B7,55.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B8,44.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B9,50.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B10,25.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B11,60.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B12,45.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B13,35.0,1
2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B14,20.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C1,15.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C2,13.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C3,15.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C4,18.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C5,27.0,1
2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C6,20.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A1,80.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A2,55.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A3,35.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A4,72.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A5,68.0,1
3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A6,55.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B1,60.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B2,46.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B3,40.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B4,28.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B5,25.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B6,86.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B7,55.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B8,44.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B9,50.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B10,25.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B11,60.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B12,45.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B13,35.0,1
3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B14,20.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C1,15.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C2,13.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C3,15.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C4,18.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C5,27.0,1
3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C6,20.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A1,80.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A2,55.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A3,35.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A4,72.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A5,68.0,1
4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A6,55.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B1,60.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B2,46.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B3,40.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B4,28.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B5,25.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B6,86.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B7,55.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B8,44.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B9,50.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B10,25.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B11,60.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B12,45.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B13,35.0,1
4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B14,20.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C1,15.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C2,13.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C3,15.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C4,18.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C5,27.0,1
4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C6,20.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A1,80.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A2,55.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A3,35.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A4,72.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A5,68.0,1
5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A6,55.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B1,60.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B2,46.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B3,40.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B4,28.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B5,25.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B6,86.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B7,55.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B8,44.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B9,50.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B10,25.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B11,60.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B12,45.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B13,35.0,1
5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B14,20.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C1,15.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C2,13.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C3,15.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C4,18.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C5,27.0,1
5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C6,20.0,1
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A1,80.0,0
