方案,评分
951,100
952,100
953,100
954,100
955,100
956,100
957,100
958,100
959,100
960,100
961,100
962,100
963,100
964,100
965,100
966,100
903,69.93806037
904,69.93806037
905,69.93806037
906,69.93806037
907,69.93806037
908,69.93806037
909,69.93806037
910,69.93806037
911,69.93806037
912,69.93806037
913,69.93806037
914,69.93806037
915,69.93806037
916,69.93806037
917,69.93806037
918,69.93806037
879,60.84214179
880,60.84214179
881,60.84214179
882,60.84214179
883,60.84214179
884,60.84214179
885,60.84214179
886,60.84214179
131,58.79828283
132,58.79828283
133,58.79828283
134,58.79828283
135,58.79828283
136,58.79828283
137,58.70460806
138,58.70460806
139,58.70460806
140,58.70460806
141,58.70460806
142,58.70460806
143,58.70460806
144,58.70460806
145,58.70460806
146,58.70460806
147,58.70460806
148,58.70460806
149,58.70460806
150,58.70460806
151,58.61093328
152,58.61093328
153,58.61093328
154,58.61093328
155,58.61093328
156,58.61093328
157,46.65458073
158,46.65458073
159,46.65458073
160,46.65458073
161,46.65458073
162,46.65458073
163,46.53748726
164,46.53748726
165,46.53748726
166,46.53748726
167,46.53748726
168,46.53748726
169,46.53748726
170,46.53748726
171,46.53748726
172,46.53748726
173,46.53748726
174,46.53748726
175,46.53748726
176,46.53748726
177,46.42039379
178,46.42039379
179,46.42039379
180,46.42039379
181,46.42039379
182,46.42039379
735,43.66277614
736,43.66277614
737,43.66277614
738,43.66277614
739,43.66277614
740,43.66277614
741,43.66277614
742,43.66277614
743,43.66277614
744,43.66277614
745,43.66277614
746,43.66277614
747,43.66277614
748,43.66277614
749,43.66277614
750,43.66277614
751,43.66277614
752,43.66277614
753,43.66277614
754,43.66277614
935,42.90373362
936,42.90373362
937,42.90373362
938,42.90373362
939,42.90373362
940,42.90373362
941,42.90373362
942,42.90373362
943,42.90373362
944,42.90373362
945,42.90373362
946,42.90373362
947,42.90373362
948,42.90373362
949,42.90373362
950,42.90373362
887,42.77237078
888,42.77237078
889,42.77237078
890,42.77237078
891,42.77237078
892,42.77237078
893,42.77237078
894,42.77237078
755,39.91080205
756,39.91080205
757,39.91080205
758,39.91080205
261,39.20951442
262,39.20951442
263,39.20951442
264,39.20951442
265,39.20951442
266,39.20951442
267,39.19780508
268,39.19780508
269,39.19780508
270,39.19780508
271,39.19780508
272,39.19780508
273,39.19780508
274,39.19780508
275,39.19780508
276,39.19780508
277,39.19780508
278,39.19780508
279,39.19780508
280,39.19780508
281,39.18609573
