方案,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤
1,400,3.25,400,57000
2,400,3.25,400,57000
3,400,3.25,400,57000
4,400,3.25,400,57000
5,400,3.25,400,57000
6,400,3.25,400,57000
7,380,3.25,400,57000
8,380,3.25,400,57000
9,380,3.25,400,57000
10,380,3.25,400,57000
11,380,3.25,400,57000
12,380,3.25,400,57000
13,380,3.25,400,57000
14,380,3.25,400,57000
15,380,3.25,400,57000
16,380,3.25,400,57000
17,380,3.25,400,57000
18,380,3.25,400,57000
19,380,3.25,400,57000
20,380,3.25,400,57000
21,360,3.25,400,57000
22,360,3.25,400,57000
23,360,3.25,400,57000
24,360,3.25,400,57000
25,360,3.25,400,57000
26,360,3.25,400,57000
27,500,7.5,400,21850
28,500,7.5,400,21850
29,500,7.5,400,21850
30,500,7.5,400,21850
31,500,7.5,400,21850
32,500,7.5,400,21850
33,475,7.5,400,21850
34,475,7.5,400,21850
35,475,7.5,400,21850
36,475,7.5,400,21850
37,475,7.5,400,21850
38,475,7.5,400,21850
39,475,7.5,400,21850
40,475,7.5,400,21850
41,475,7.5,400,21850
42,475,7.5,400,21850
43,475,7.5,400,21850
44,475,7.5,400,21850
45,475,7.5,400,21850
46,475,7.5,400,21850
47,450,7.5,400,21850
48,450,7.5,400,21850
49,450,7.5,400,21850
50,450,7.5,400,21850
51,450,7.5,400,21850
52,450,7.5,400,21850
53,400,8.25,350,22400
54,400,8.25,350,22400
55,400,8.25,350,22400
56,400,8.25,350,22400
57,400,8.25,350,22400
58,400,8.25,350,22400
59,380,8.25,350,22400
60,380,8.25,350,22400
61,380,8.25,350,22400
62,380,8.25,350,22400
63,380,8.25,350,22400
64,380,8.25,350,22400
65,380,8.25,350,22400
66,380,8.25,350,22400
67,380,8.25,350,22400
68,380,8.25,350,22400
69,380,8.25,350,22400
70,380,8.25,350,22400
71,380,8.25,350,22400
72,380,8.25,350,22400
73,360,8.25,350,22400
74,360,8.25,350,22400
75,360,8.25,350,22400
76,360,8.25,350,22400
77,360,8.25,350,22400
78,360,8.25,350,22400
79,350,7,350,33040
80,350,7,350,33040
81,350,7,350,33040
82,350,7,350,33040
83,350,7,350,33040
84,350,7,350,33040
85,330,7,350,33040
86,330,7,350,33040
87,330,7,350,33040
88,330,7,350,33040
89,330,7,350,33040
90,330,7,350,33040
91,330,7,350,33040
92,330,7,350,33040
93,330,7,350,33040
94,330,7,350,33040
95,330,7,350,33040
96,330,7,350,33040
97,330,7,350,33040
98,330,7,350,33040
99,315,7,350,33040
100,315,7,350,33040
101,315,7,350,33040
102,315,7,350,33040
103,315,7,350,33040
104,315,7,350,33040
105,415,6.75,350,9875
106,415,6.75,350,9875
107,415,6.75,350,9875
108,415,6.75,350,9875
109,415,6.75,350,9875
110,415,6.75,350,9875
111,395,6.75,350,9875
112,395,6.75,350,9875
113,395,6.75,350,9875
114,395,6.75,350,9875
115,395,6.75,350,9875
116,395,6.75,350,9875
117,395,6.75,350,9875
118,395,6.75,350,9875
119,395,6.75,350,9875
120,395,6.75,350,9875
121,395,6.75,350,9875
122,395,6.75,350,9875
123,395,6.75,350,9875
124,395,6.75,350,9875
125,375,6.75,350,9875
126,375,6.75,350,9875
127,375,6.75,350,9875
128,375,6.75,350,9875
129,375,6.75,350,9875
130,375,6.75,350,9875
131,800,3.5,450,170840
132,800,3.5,450,170840
133,800,3.5,450,170840
134,800,3.5,450,170840
135,800,3.5,450,170840
136,800,3.5,450,170840
137,760,3.5,450,170840
138,760,3.5,450,170840
139,760,3.5,450,170840
140,760,3.5,450,170840
141,760,3.5,450,170840
142,760,3.5,450,170840
143,760,3.5,450,170840
144,760,3.5,450,170840
145,760,3.5,450,170840
146,760,3.5,450,170840
147,760,3.5,450,170840
148,760,3.5,450,170840
149,760,3.5,450,170840
150,760,3.5,450,170840
151,720,3.5,450,170840
152,720,3.5,450,170840
153,720,3.5,450,170840
154,720,3.5,450,170840
155,720,3.5,450,170840
156,720,3.5,450,170840
157,1000,3,500,132750
158,1000,3,500,132750
159,1000,3,500,132750
160,1000,3,500,132750
161,1000,3,500,132750
162,1000,3,500,132750
163,950,3,500,132750
164,950,3,500,132750
165,950,3,500,132750
166,950,3,500,132750
167,950,3,500,132750
168,950,3,500,132750
169,950,3,500,132750
170,950,3,500,132750
171,950,3,500,132750
172,950,3,500,132750
173,950,3,500,132750
174,950,3,500,132750
175,950,3,500,132750
176,950,3,500,132750
177,900,3,500,132750
178,900,3,500,132750
179,900,3,500,132750
180,900,3,500,132750
181,900,3,500,132750
182,900,3,500,132750
183,400,6.75,360,71400
184,400,6.75,360,71400
185,400,6.75,360,71400
186,400,6.75,360,71400
187,400,6.75,360,71400
188,400,6.75,360,71400
189,380,6.75,360,71400
190,380,6.75,360,71400
191,380,6.75,360,71400
192,380,6.75,360,71400
193,380,6.75,360,71400
194,380,6.75,360,71400
195,380,6.75,360,71400
196,380,6.75,360,71400
197,380,6.75,360,71400
198,380,6.75,360,71400
199,380,6.75,360,71400
200,380,6.75,360,71400
201,380,6.75,360,71400
202,380,6.75,360,71400
203,360,6.75,360,71400
204,360,6.75,360,71400
205,360,6.75,360,71400
206,360,6.75,360,71400
207,360,6.75,360,71400
208,360,6.75,360,71400
209,630,6,400,30000
210,630,6,400,30000
211,630,6,400,30000
212,630,6,400,30000
213,630,6,400,30000
214,630,6,400,30000
215,600,6,400,30000
216,600,6,400,30000
217,600,6,400,30000
218,600,6,400,30000
219,600,6,400,30000
220,600,6,400,30000
221,600,6,400,30000
222,600,6,400,30000
223,600,6,400,30000
224,600,6,400,30000
225,600,6,400,30000
226,600,6,400,30000
227,600,6,400,30000
228,600,6,400,30000
229,570,6,400,30000
230,570,6,400,30000
231,570,6,400,30000
232,570,6,400,30000
233,570,6,400,30000
234,570,6,400,30000
235,525,7.5,360,12500
236,525,7.5,360,12500
237,525,7.5,360,12500
238,525,7.5,360,12500
239,525,7.5,360,12500
240,525,7.5,360,12500
241,500,7.5,360,12500
242,500,7.5,360,12500
243,500,7.5,360,12500
244,500,7.5,360,12500
245,500,7.5,360,12500
246,500,7.5,360,12500
247,500,7.5,360,12500
248,500,7.5,360,12500
249,500,7.5,360,12500
250,500,7.5,360,12500
251,500,7.5,360,12500
252,500,7.5,360,12500
253,500,7.5,360,12500
254,500,7.5,360,12500
255,475,7.5,360,12500
256,475,7.5,360,12500
257,475,7.5,360,12500
258,475,7.5,360,12500
259,475,7.5,360,12500
260,475,7.5,360,12500
261,110,40,350,1500
262,110,40,350,1500
263,110,40,350,1500
264,110,40,350,1500
265,110,40,350,1500
266,110,40,350,1500
267,105,40,350,1500
268,105,40,350,1500
269,105,40,350,1500
270,105,40,350,1500
271,105,40,350,1500
272,105,40,350,1500
273,105,40,350,1500
274,105,40,350,1500
275,105,40,350,1500
276,105,40,350,1500
277,105,40,350,1500
278,105,40,350,1500
279,105,40,350,1500
280,105,40,350,1500
281,100,40,350,1500
282,100,40,350,1500
283,100,40,350,1500
284,100,40,350,1500
285,100,40,350,1500
286,100,40,350,1500
287,3000,1.5,1000,35100
288,3000,1.5,1000,35100
289,3000,1.5,1000,35100
290,3000,1.5,1000,35100
291,3000,1.5,1000,35100
292,3000,1.5,1000,35100
293,2850,1.5,1000,35100
294,2850,1.5,1000,35100
295,2850,1.5,1000,35100
296,2850,1.5,1000,35100
297,2850,1.5,1000,35100
298,2850,1.5,1000,35100
299,2850,1.5,1000,35100
300,2850,1.5,1000,35100
301,2850,1.5,1000,35100
302,2850,1.5,1000,35100
303,2850,1.5,1000,35100
304,2850,1.5,1000,35100
305,2850,1.5,1000,35100
306,2850,1.5,1000,35100
307,2700,1.5,1000,35100
308,2700,1.5,1000,35100
309,2700,1.5,1000,35100
310,2700,1.5,1000,35100
311,2700,1.5,1000,35100
312,2700,1.5,1000,35100
313,2200,3.25,2000,36000
314,2200,3.25,2000,36000
315,2200,3.25,2000,36000
316,2200,3.25,2000,36000
317,2200,3.25,2000,36000
318,2200,3.25,2000,36000
319,2100,3.25,2000,36000
320,2100,3.25,2000,36000
321,2100,3.25,2000,36000
322,2100,3.25,2000,36000
323,2100,3.25,2000,36000
324,2100,3.25,2000,36000
325,2100,3.25,2000,36000
326,2100,3.25,2000,36000
327,2100,3.25,2000,36000
328,2100,3.25,2000,36000
329,2100,3.25,2000,36000
330,2100,3.25,2000,36000
331,2100,3.25,2000,36000
332,2100,3.25,2000,36000
333,2000,3.25,2000,36000
334,2000,3.25,2000,36000
335,2000,3.25,2000,36000
336,2000,3.25,2000,36000
337,2000,3.25,2000,36000
338,2000,3.25,2000,36000
339,420,5.5,400,14000
340,420,5.5,400,14000
341,420,5.5,400,14000
