,作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类,种植规模,是否种,年份,yield,area,cost,是否种豆
0,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A1,80.0,1,24.0,0.0,2023,0.0,0.0,0.0,0.0
1,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A2,55.0,1,16.5,0.0,2023,0.0,0.0,0.0,0.0
2,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A3,35.0,1,10.5,0.0,2023,0.0,0.0,0.0,0.0
3,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A4,72.0,1,72.0,1.0,2023,28800.0,72.0,28800.0,1.0
4,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A5,68.0,1,20.4,0.0,2023,0.0,0.0,0.0,0.0
5,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A6,55.0,1,16.5,0.0,2023,0.0,0.0,0.0,0.0
6,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B1,60.0,1,18.0,0.0,2023,0.0,0.0,0.0,0.0
7,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B2,46.0,1,13.799999999999997,0.0,2023,0.0,0.0,0.0,0.0
8,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B3,40.0,1,12.0,0.0,2023,0.0,0.0,0.0,0.0
9,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B4,28.0,1,8.4,0.0,2023,0.0,0.0,0.0,0.0
10,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B5,25.0,1,7.5,0.0,2023,0.0,0.0,0.0,0.0
11,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B6,86.0,1,25.8,0.0,2023,0.0,0.0,0.0,0.0
12,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B7,55.0,1,16.5,0.0,2023,0.0,0.0,0.0,0.0
13,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B8,44.0,1,13.2,0.0,2023,0.0,0.0,0.0,0.0
14,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B9,50.0,1,15.0,0.0,2023,0.0,0.0,0.0,0.0
15,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B10,25.0,1,7.5,0.0,2023,0.0,0.0,0.0,0.0
16,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B11,60.0,1,60.0,1.0,2023,22800.0,60.0,24000.0,1.0
17,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B12,45.0,1,13.5,0.0,2023,0.0,0.0,0.0,0.0
18,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B13,35.0,1,10.5,0.0,2023,0.0,0.0,0.0,0.0
19,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B14,20.0,1,6.0,0.0,2023,0.0,0.0,0.0,0.0
20,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C1,15.0,1,4.5,0.0,2023,0.0,0.0,0.0,0.0
21,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C2,13.0,1,3.9,0.0,2023,0.0,0.0,0.0,0.0
22,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C3,15.0,1,15.0,1.0,2023,5400.0,15.0,6000.0,1.0
