,作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类,种植规模,是否种,年份
0,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A1,80.0,1,0.0,0,2023
1,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A2,55.0,1,0.0,0,2023
2,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A3,35.0,1,0.0,0,2023
3,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A4,72.0,1,72.0,1,2023
4,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A5,68.0,1,0.0,0,2023
5,1,黄豆,平旱地,第一季,400.0,3.25,400.0,57000.0,A6,55.0,1,0.0,0,2023
6,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B1,60.0,1,0.0,0,2023
7,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B2,46.0,1,0.0,0,2023
8,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B3,40.0,1,0.0,0,2023
9,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B4,28.0,1,0.0,0,2023
10,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B5,25.0,1,0.0,0,2023
11,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B6,86.0,1,0.0,0,2023
12,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B7,55.0,1,0.0,0,2023
13,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B8,44.0,1,0.0,0,2023
14,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B9,50.0,1,0.0,0,2023
15,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B10,25.0,1,0.0,0,2023
16,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B11,60.0,1,60.0,1,2023
17,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B12,45.0,1,0.0,0,2023
18,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B13,35.0,1,0.0,0,2023
19,1,黄豆,梯田,第一季,380.0,3.25,400.0,57000.0,B14,20.0,1,0.0,0,2023
20,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C1,15.0,1,0.0,0,2023
21,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C2,13.0,1,0.0,0,2023
22,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C3,15.0,1,15.0,1,2023
23,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C4,18.0,1,0.0,0,2023
24,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C5,27.0,1,0.0,0,2023
25,1,黄豆,山坡地,第一季,360.0,3.25,400.0,57000.0,C6,20.0,1,0.0,0,2023
26,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A1,80.0,1,0.0,0,2023
27,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A2,55.0,1,0.0,0,2023
28,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A3,35.0,1,0.0,0,2023
29,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A4,72.0,1,0.0,0,2023
30,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A5,68.0,1,0.0,0,2023
